location,continent,date,population,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,total_cases_per_million,total_deaths_per_million,case_fatality_rate,total_cases_M,total_deaths_M
Afghanistan,Asia,2024-08-04,41128772,235214.0,0.0,7998.0,0.0,22964750.0,44.67,5796.47,197.1,3.4,0.235,0.008
Albania,Europe,2024-08-04,2842318,335047.0,0.0,3605.0,0.0,3088966.0,45.01,118491.02,1274.93,1.08,0.335,0.004
Algeria,Africa,2024-08-04,44903228,272139.0,18.0,6881.0,0.0,15267442.0,14.43,5984.05,151.31,2.53,0.272,0.007
American Samoa,Oceania,2024-08-04,44295,8359.0,0.0,34.0,0.0,,,172831.6,702.99,0.41,0.008,0.0
Andorra,Europe,2024-08-04,79843,48015.0,0.0,159.0,0.0,157072.0,67.01,602280.44,1994.43,0.33,0.048,0.0
Angola,Africa,2024-08-04,35588996,107481.0,0.0,1937.0,0.0,27819132.0,27.0,3016.16,54.36,1.8,0.107,0.002
Anguilla,North America,2024-08-04,15877,3904.0,0.0,12.0,0.0,24604.0,65.38,274890.88,844.95,0.31,0.004,0.0
Antigua and Barbuda,North America,2024-08-04,93772,9106.0,0.0,146.0,0.0,136512.0,66.53,98071.1,1572.41,1.6,0.009,0.0
Argentina,South America,2024-08-04,45510324,10101218.0,54.0,130663.0,1.0,116978521.0,76.69,222455.06,2877.54,1.29,10.101,0.131
Armenia,Asia,2024-08-04,2780472,452273.0,0.0,8777.0,0.0,2256919.0,37.07,156991.11,3046.64,1.94,0.452,0.009
Aruba,North America,2024-08-04,106459,44224.0,0.0,292.0,0.0,174914.0,79.25,410271.62,2708.92,0.66,0.044,0.0
Australia,Oceania,2024-08-04,26177410,11861161.0,0.0,25236.0,0.0,69686752.0,82.7,452699.0,963.17,0.21,11.861,0.025
Austria,Europe,2024-08-04,8939617,6082444.0,15.0,22534.0,0.0,20468731.0,74.76,671004.9,2485.91,0.37,6.082,0.023
Azerbaijan,Asia,2024-08-04,10358078,835757.0,63.0,10353.0,0.0,13857111.0,46.94,81178.45,1005.6,1.24,0.836,0.01
Bahamas,North America,2024-08-04,409989,39127.0,0.0,849.0,0.0,366359.0,40.73,98421.81,2135.61,2.17,0.039,0.001
Bahrain,Asia,2024-08-04,1472237,696614.0,0.0,1536.0,0.0,3476633.0,83.33,454276.25,1001.66,0.22,0.697,0.002
Bangladesh,Asia,2024-08-04,171186368,2051348.0,40.0,29499.0,0.0,361742554.0,83.07,12110.57,174.15,1.44,2.051,0.029
Barbados,North America,2024-08-04,281646,108582.0,57.0,593.0,0.0,384049.0,55.05,384600.7,2100.42,0.55,0.109,0.001
Belarus,Europe,2024-08-04,9534956,994037.0,0.0,7118.0,0.0,22511000.0,67.28,108362.68,775.95,0.72,0.994,0.007
Belgium,Europe,2024-08-04,11655923,4872829.0,1277.0,34339.0,0.0,31469387.0,78.68,418562.72,2949.63,0.7,4.873,0.034
Belize,North America,2024-08-04,405285,71414.0,0.0,688.0,0.0,510717.0,54.63,177319.92,1708.29,0.96,0.071,0.001
Benin,Africa,2024-08-04,13352864,28036.0,0.0,163.0,0.0,4232541.0,20.54,2037.57,11.85,0.58,0.028,0.0
Bermuda,North America,2024-08-04,64207,18860.0,0.0,165.0,0.0,132042.0,74.22,291175.2,2547.4,0.87,0.019,0.0
Bhutan,Asia,2024-08-04,782457,62697.0,0.0,21.0,0.0,2011426.0,86.61,80286.07,26.89,0.03,0.063,0.0
Bolivia,South America,2024-08-04,12224114,1212147.0,2.0,22387.0,0.0,14690530.0,50.4,100366.93,1853.66,1.85,1.212,0.022
Bonaire Sint Eustatius and Saba,North America,2024-08-04,27052,11922.0,0.0,41.0,0.0,35845.0,61.87,416067.56,1430.86,0.34,0.012,0.0
Bosnia and Herzegovina,Europe,2024-08-04,3233530,403666.0,0.0,16392.0,0.0,1924950.0,26.17,125956.49,5114.82,4.06,0.404,0.016
Botswana,Africa,2024-08-04,2630300,330696.0,0.0,2801.0,0.0,3171667.0,63.24,135536.98,1148.0,0.85,0.331,0.003
Brazil,South America,2024-08-04,215313504,37511921.0,0.0,702116.0,0.0,486436436.0,81.82,178367.94,3338.54,1.87,37.512,0.702
British Virgin Islands,North America,2024-08-04,31332,7557.0,0.0,64.0,0.0,41453.0,58.28,197084.3,1669.1,0.85,0.008,0.0
Brunei,Asia,2024-08-04,449002,347723.0,288.0,179.0,1.0,1293100.0,99.49,763598.6,393.08,0.05,0.348,0.0
Bulgaria,Europe,2024-08-04,6781955,1329988.0,257.0,38700.0,0.0,4726614.0,30.64,194845.4,5669.61,2.91,1.33,0.039
Burkina Faso,Africa,2024-08-04,22673764,22139.0,0.0,400.0,0.0,7893609.0,23.08,983.56,17.77,1.81,0.022,0.0
Burundi,Africa,2024-08-04,12889583,54569.0,0.0,15.0,0.0,42252.0,0.28,4096.43,1.13,0.03,0.055,0.0
Cambodia,Asia,2024-08-04,16767851,139319.0,6.0,3056.0,0.0,47826645.0,87.63,8099.13,177.66,2.19,0.139,0.003
Cameroon,Africa,2024-08-04,27914542,125246.0,0.0,1974.0,0.0,4880572.0,11.45,4532.52,71.44,1.58,0.125,0.002
Canada,North America,2024-08-04,38454328,4819055.0,38.0,55282.0,0.0,102877159.0,82.59,124134.43,1424.01,1.15,4.819,0.055
Cape Verde,Africa,2024-08-04,593162,64474.0,0.0,417.0,0.0,859940.0,52.05,124048.1,802.31,0.65,0.064,0.0
Cayman Islands,North America,2024-08-04,68722,31472.0,0.0,37.0,0.0,152148.0,88.32,439497.84,516.7,0.12,0.031,0.0
Central African Republic,Africa,2024-08-04,5579148,15441.0,0.0,113.0,0.0,3342248.0,44.54,3028.81,22.16,0.73,0.015,0.0
Chad,Africa,2024-08-04,17723312,7702.0,0.0,194.0,0.0,9151765.0,28.33,417.33,10.51,2.52,0.008,0.0
Chile,South America,2024-08-04,19603736,5401126.0,100.0,62730.0,0.0,66864900.0,90.29,276229.6,3208.2,1.16,5.401,0.063
China,Asia,2024-08-04,1425887360,99373219.0,2087.0,122304.0,15.0,3491077000.0,89.54,69726.8,85.82,0.12,99.373,0.122
Colombia,South America,2024-08-04,51874028,6391876.0,976.0,142727.0,0.0,90931192.0,71.72,123543.3,2758.65,2.23,6.392,0.143
Comoros,Africa,2024-08-04,836783,9109.0,0.0,160.0,0.0,835021.0,47.45,10919.55,191.8,1.76,0.009,0.0
Congo,Africa,2024-08-04,5970430,25227.0,0.0,389.0,0.0,833210.0,10.96,4180.04,64.46,1.54,0.025,0.0
Cook Islands,Oceania,2024-08-04,17032,7345.0,1.0,2.0,0.0,40854.0,86.47,498067.4,135.62,0.03,0.007,0.0
Costa Rica,North America,2024-08-04,5180836,1234701.0,0.0,9372.0,0.0,13576935.0,84.35,242966.97,1844.24,0.76,1.235,0.009
Cote d'Ivoire,Africa,2024-08-04,28160548,88434.0,0.0,835.0,0.0,25263932.0,43.2,2909.49,27.47,0.94,0.088,0.001
Croatia,Europe,2024-08-04,4030361,1317144.0,0.0,18752.0,0.0,5374628.0,55.87,337121.47,4799.55,1.42,1.317,0.019
Cuba,North America,2024-08-04,11212198,1113662.0,0.0,8530.0,0.0,45995747.0,89.67,100694.4,771.26,0.77,1.114,0.009
Curacao,North America,2024-08-04,191173,45883.0,0.0,305.0,0.0,260324.0,52.77,247546.55,1645.53,0.66,0.046,0.0
Cyprus,Europe,2024-08-04,896007,696410.0,0.0,1451.0,0.0,1798610.0,72.11,523075.38,1089.85,0.21,0.696,0.001
Czechia,Europe,2024-08-12,10493990,4761919.0,571.0,43509.0,1.0,19047108.0,65.71,446155.97,4076.47,0.91,4.762,0.044
Democratic Republic of Congo,Africa,2024-08-04,99010216,101009.0,0.0,1474.0,0.0,18808671.0,14.54,986.44,14.4,1.46,0.101,0.001
Denmark,Europe,2024-08-04,5882259,3435679.0,0.0,9693.0,0.0,14961517.0,80.11,582032.56,1642.08,0.28,3.436,0.01
Djibouti,Africa,2024-08-04,1120851,15690.0,0.0,189.0,0.0,442199.0,35.79,13798.26,166.21,1.2,0.016,0.0
Dominica,North America,2024-08-04,72758,16047.0,0.0,74.0,0.0,67647.0,42.14,240044.88,1106.96,0.46,0.016,0.0
Dominican Republic,North America,2024-08-04,11228821,661103.0,0.0,4384.0,0.0,16430339.0,54.6,58865.52,390.36,0.66,0.661,0.004
East Timor,Asia,2024-08-04,1341298,23460.0,0.0,138.0,0.0,2028798.0,59.77,17132.85,100.78,0.59,0.023,0.0
Ecuador,South America,2024-08-04,18001002,1077445.0,157.0,36050.0,0.0,39564195.0,79.11,60449.45,2022.56,3.35,1.077,0.036
Egypt,Africa,2024-08-04,110990096,516023.0,0.0,24830.0,0.0,112673535.0,38.15,4582.05,220.48,4.81,0.516,0.025
El Salvador,North America,2024-08-04,6336393,201920.0,3.0,4230.0,0.0,11289175.0,68.56,32151.25,673.53,2.09,0.202,0.004
England,Europe,2023-12-08,56550000,,,,,149398324.0,75.95,,,,,
Equatorial Guinea,Africa,2024-08-04,1674916,17130.0,0.0,183.0,0.0,488738.0,12.78,9497.94,101.47,1.07,0.017,0.0
Eritrea,Africa,2024-08-04,3684041,10189.0,0.0,103.0,0.0,,,2988.46,30.21,1.01,0.01,0.0
Estonia,Europe,2024-08-12,1326064,610471.0,0.0,2998.0,0.0,2171623.0,65.06,452169.94,2220.59,0.49,0.61,0.003
Eswatini,Africa,2024-08-04,1201680,75356.0,0.0,1427.0,0.0,870205.0,35.56,61821.89,1170.71,1.89,0.075,0.001
Ethiopia,Africa,2024-08-04,123379928,501193.0,0.0,7574.0,0.0,68856793.0,35.38,3997.26,60.41,1.51,0.501,0.008
Falkland Islands,South America,2024-08-04,3801,1923.0,0.0,0.0,0.0,4407.0,46.7,547083.94,0.0,0.0,0.002,0.0
Faroe Islands,Europe,2024-08-04,53117,34658.0,0.0,28.0,0.0,103894.0,76.99,641351.6,518.14,0.08,0.035,0.0
Fiji,Oceania,2024-08-04,929769,69047.0,0.0,885.0,0.0,1555182.0,68.96,75097.78,962.56,1.28,0.069,0.001
Finland,Europe,2024-08-04,5540745,1499712.0,0.0,11466.0,0.0,13327120.0,78.46,269281.97,2058.79,0.76,1.5,0.011
France,Europe,2024-08-04,67813000,38997490.0,0.0,168091.0,0.0,154493266.0,78.44,606706.0,2615.09,0.43,38.997,0.168
French Guiana,South America,2024-08-04,304568,98041.0,0.0,413.0,0.0,,,328644.84,1384.42,0.42,0.098,0.0
French Polynesia,Oceania,2024-08-04,306292,79387.0,47.0,650.0,0.0,502952.0,60.99,283131.66,2318.21,0.82,0.079,0.001
Gabon,Africa,2024-08-04,2388997,49051.0,0.0,307.0,0.0,572672.0,10.78,20179.35,126.3,0.63,0.049,0.0
Gambia,Africa,2024-08-04,2705995,12627.0,0.0,372.0,0.0,1444492.0,19.93,4789.35,141.1,2.95,0.013,0.0
Georgia,Asia,2024-08-04,3744385,1863615.0,0.0,17150.0,0.0,2930677.0,34.08,491099.22,4519.36,0.92,1.864,0.017
Germany,Europe,2024-08-04,83369840,38437756.0,0.0,174979.0,0.0,192221468.0,76.24,457123.1,2080.95,0.46,38.438,0.175
Ghana,Africa,2024-08-04,33475870,172062.0,0.0,1462.0,0.0,25624828.0,32.2,5190.54,44.1,0.85,0.172,0.001
Gibraltar,Europe,2024-08-04,32677,20550.0,0.0,113.0,0.0,132810.0,126.89,546092.3,3002.84,0.55,0.021,0.0
Greece,Europe,2024-08-04,10384972,5673681.0,5818.0,39258.0,40.0,22467978.0,73.64,544892.3,3770.28,0.69,5.674,0.039
Greenland,North America,2024-08-04,56494,11971.0,0.0,21.0,0.0,79738.0,68.17,213714.42,374.91,0.18,0.012,0.0
Grenada,North America,2024-08-04,125459,19693.0,0.0,238.0,0.0,90686.0,31.11,168419.88,2035.44,1.21,0.02,0.0
Guadeloupe,North America,2024-08-04,395762,203235.0,0.0,1021.0,0.0,,,528290.6,2654.0,0.5,0.203,0.001
Guam,Oceania,2024-08-04,171783,52287.0,0.0,419.0,0.0,,,316520.7,2536.43,0.8,0.052,0.0
Guatemala,North America,2024-08-04,17843914,1250371.0,1.0,20203.0,0.0,20362104.0,39.94,70057.12,1131.96,1.62,1.25,0.02
Guernsey,Europe,2024-08-04,63329,35326.0,0.0,67.0,0.0,178525.0,83.23,554150.6,1051.01,0.19,0.035,0.0
Guinea,Africa,2024-08-04,13859349,38572.0,0.0,468.0,0.0,12049511.0,42.24,2744.34,33.3,1.21,0.039,0.0
Guinea-Bissau,Africa,2024-08-04,2105580,9614.0,0.0,177.0,0.0,920752.0,26.01,4566.06,84.06,1.84,0.01,0.0
Guyana,South America,2024-08-04,808727,74443.0,4.0,1302.0,0.0,960133.0,47.23,90603.38,1584.64,1.75,0.074,0.001
Haiti,North America,2024-08-04,11585003,34456.0,0.0,860.0,0.0,680104.0,3.16,2995.24,74.76,2.5,0.034,0.001
Honduras,North America,2024-08-04,10432858,472896.0,1.0,11114.0,0.0,17074861.0,56.11,45193.18,1062.13,2.35,0.473,0.011
Hong Kong,Asia,2024-08-10,7488863,,,,,21014839.0,90.85,,,,,
Hungary,Europe,2024-08-04,9967304,2230800.0,143.0,49053.0,0.0,16701238.0,62.28,230352.08,5065.21,2.2,2.231,0.049
Iceland,Europe,2024-08-04,372903,210374.0,27.0,186.0,0.0,805469.0,77.82,553080.2,489.0,0.09,0.21,0.0
India,Asia,2024-08-12,1417173120,45041748.0,313.0,533623.0,0.0,2206868000.0,67.18,31598.86,374.36,1.18,45.042,0.534
Indonesia,Asia,2024-08-04,275501344,6829399.0,46.0,162059.0,0.0,448199860.0,63.51,24493.01,581.21,2.37,6.829,0.162
Iran,Asia,2024-08-04,88550568,7627863.0,0.0,146837.0,0.0,155461757.0,66.16,85204.44,1640.19,1.93,7.628,0.147
Iraq,Asia,2024-08-04,44496124,2465545.0,0.0,25375.0,0.0,19557364.0,17.85,55945.4,575.78,1.03,2.466,0.025
Ireland,Europe,2024-08-04,5023108,1745088.0,761.0,9744.0,9.0,11148281.0,80.94,341503.62,1906.84,0.56,1.745,0.01
Isle of Man,Europe,2024-08-04,84534,38008.0,0.0,116.0,0.0,189994.0,79.38,451701.84,1378.59,0.31,0.038,0.0
Israel,Asia,2024-08-04,9449000,4841558.0,0.0,12707.0,0.0,18649248.0,65.19,531855.56,1395.89,0.26,4.842,0.013
Italy,Europe,2024-08-07,59037472,26781078.0,6350.0,197307.0,6.0,144608839.0,81.21,449202.94,3309.46,0.74,26.781,0.197
Jamaica,North America,2024-08-04,2827382,157181.0,12.0,3611.0,0.0,1528445.0,26.88,55361.97,1271.86,2.3,0.157,0.004
Japan,Asia,2024-08-04,123951696,33803572.0,0.0,74694.0,0.0,383747738.0,83.4,270433.8,597.56,0.22,33.804,0.075
Jersey,Europe,2024-08-04,110796,66391.0,0.0,161.0,0.0,266953.0,73.9,641502.3,1555.66,0.24,0.066,0.0
Jordan,Asia,2024-08-04,11285875,1746997.0,0.0,14122.0,0.0,10057975.0,40.39,155202.16,1254.59,0.81,1.747,0.014
Kazakhstan,Asia,2024-08-04,19397998,1504370.0,0.0,19072.0,0.0,38355605.0,54.79,75088.55,951.95,1.27,1.504,0.019
Kenya,Africa,2024-08-04,54027484,344106.0,0.0,5689.0,0.0,23750431.0,20.53,6342.68,104.86,1.65,0.344,0.006
Kiribati,Oceania,2024-08-04,131237,5085.0,0.0,24.0,0.0,219980.0,62.08,38971.19,183.94,0.47,0.005,0.0
Kosovo,Europe,2024-08-04,1782115,274279.0,0.0,3212.0,0.0,1837446.0,46.3,159654.83,1869.67,1.17,0.274,0.003
Kuwait,Asia,2024-08-04,4268886,667290.0,0.0,2570.0,0.0,8261221.0,78.39,145394.48,559.97,0.39,0.667,0.003
Kyrgyzstan,Asia,2024-08-04,6630621,88953.0,0.0,1024.0,0.0,3661335.0,21.2,12788.34,147.22,1.15,0.089,0.001
Laos,Asia,2024-08-04,7529477,219060.0,0.0,671.0,0.0,11111066.0,69.36,28980.0,88.77,0.31,0.219,0.001
Latvia,Europe,2024-08-04,1850654,977765.0,0.0,7475.0,0.0,2895716.0,70.57,519795.25,3973.83,0.76,0.978,0.007
Lebanon,Asia,2024-08-04,5489744,1239904.0,0.0,10947.0,0.0,5814699.0,43.98,215842.16,1905.65,0.88,1.24,0.011
